batch_id,plant_id,operator_shift,day_of_week,cement_brand,cement_kg_m3,slag_kg_m3,fly_ash_kg_m3,silica_fume_kg_m3,water_kg_m3,superplasticizer_kg_m3,fine_aggregate_kg_m3,coarse_aggregate_kg_m3,air_content_pct,slump_mm,mix_time_s,temperature_C,humidity_pct,curing_method,aggregate_type,nearby_traffic_count,sensor_noise_index,age_days,compressive_strength_mpa
838618,PLANT_04,day,6,A,253.1,0.0,59.4,0.83,212.7,1.75,780.6,1043.1,2.24,70.0,96.0,20.7,72.0,water_cured,limestone,1180,-1.908,56,99.06
560573,PLANT_04,day,4,B,292.1,47.0,0.0,5.13,226.4,0.0,771.0,865.8,1.0,,50.0,15.4,78.0,water_cured,basalt,2140,-0.979,28,87.84
547499,PLANT_01,day,5,B,349.0,29.2,0.0,10.37,180.9,7.4,835.6,1250.0,1.71,169.0,79.0,20.9,62.0,air_cured,limestone,1954,-0.321,56,99.77
710534,PLANT_01,day,1,C,286.0,95.1,15.6,11.76,159.0,3.63,775.3,1007.1,8.19,181.0,145.0,14.7,74.0,water_cured,limestone,4911,-1.242,28,96.24
647838,PLANT_03,day,2,A,310.5,96.6,70.4,7.55,169.5,7.03,707.3,997.9,2.57,168.0,173.0,27.5,75.0,water_cured,granite,4220,-0.244,3,93.33
401076,PLANT_02,swing,0,C,360.9,0.0,53.3,0.0,186.8,5.59,682.6,912.4,3.52,52.0,93.0,22.1,84.0,air_cured,granite,4433,-0.97,180,110.0
129408,PLANT_01,night,2,C,305.6,107.5,59.1,0.0,135.9,2.41,770.1,1247.8,4.86,83.0,153.0,19.1,25.0,water_cured,granite,107,0.553,56,110.0
745122,PLANT_04,day,4,B,345.8,16.4,33.8,3.5,160.7,0.0,699.1,804.5,5.46,70.0,50.0,19.9,57.0,sealed,limestone,567,-2.019,56,107.8
563966,PLANT_03,day,5,C,441.5,63.0,0.0,12.77,210.9,3.08,725.2,881.6,1.29,45.0,132.0,17.4,75.0,steam_cured,gravel,3296,0.246,7,102.96
406717,PLANT_01,day,3,B,318.0,0.0,102.0,8.6,148.9,3.93,776.1,1099.5,1.0,,182.0,20.8,,water_cured,granite,3851,-0.149,28,108.76
825191,PLANT_03,day,3,A,412.6,70.4,3.6,6.94,156.3,4.9,735.2,1013.6,3.93,55.0,144.0,30.5,86.0,water_cured,granite,573,-0.738,28,110.0
827009,PLANT_03,day,1,A,369.2,190.3,53.9,4.94,175.3,1.78,753.9,899.3,1.7,64.0,119.0,16.0,87.0,water_cured,limestone,249,-0.203,90,110.0
507257,PLANT_01,night,1,A,227.3,57.0,30.0,7.47,182.1,4.36,633.0,903.3,1.77,71.0,50.0,21.1,98.0,water_cured,limestone,847,0.35,28,87.1
178301,PLANT_02,day,0,A,252.9,24.7,60.3,0.0,159.4,4.36,868.5,939.3,2.91,146.0,233.0,14.6,63.0,sealed,basalt,4594,-2.424,56,95.81
